time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 10:6:32.890	WT901BLE68(E947F43FF2E9)	0.030	0.961	-0.227	-1.526	6.531	28.503	107.41	-5.51	89.13	43.512	-64.484	13.230	0.45264	0.48392	0.63589	0.39554	27.6	13111	100
2025-3-13 10:6:32.941	WT901BLE68(490AABDC0D29)	0.049	-0.751	0.081	43.762	-7.446	148.560	-98.50	-18.37	33.55	-10.094	49.196	46.550	0.64560	-0.68338	-0.29138	0.17654	26.9	13111	100
2025-3-13 10:6:32.980	WT901BLE68(E947F43FF2E9)	0.108	0.972	-0.220	-8.850	9.033	31.677	106.35	-8.20	89.17	43.512	-64.484	13.230	0.37833	0.60410	0.51764	0.47314	27.6	13111	100
2025-3-13 10:6:33.35	WT901BLE68(490AABDC0D29)	1.005	-1.317	-0.007	66.956	-27.832	247.070	-91.94	3.82	31.94	-10.094	49.196	46.550	0.65689	-0.69406	-0.09695	0.27792	26.9	13111	100
2025-3-13 10:6:33.101	WT901BLE68(E947F43FF2E9)	0.147	0.980	-0.209	-6.470	9.888	40.161	105.39	-11.64	88.98	43.512	-64.484	13.230	0.37833	0.60410	0.51764	0.47314	27.6	13111	100
2025-3-13 10:6:33.153	WT901BLE68(490AABDC0D29)	-0.839	-1.196	-0.184	54.321	70.618	181.946	-86.69	26.22	29.03	-10.094	49.196	46.550	0.65689	-0.69406	-0.09695	0.27792	26.9	13111	100
2025-3-13 10:6:33.189	WT901BLE68(E947F43FF2E9)	-0.011	1.079	-0.155	-14.954	9.705	54.077	104.35	-15.81	88.59	28.126	-70.756	12.250	0.37833	0.60410	0.51764	0.47314	27.6	13111	100
2025-3-13 10:6:33.213	WT901BLE68(490AABDC0D29)	-0.146	-1.249	0.303	-32.898	-39.917	-81.909	-88.02	27.05	26.77	26.852	22.736	39.690	0.65689	-0.69406	-0.09695	0.27792	26.9	13111	100
2025-3-13 10:6:33.311	WT901BLE68(E947F43FF2E9)	0.575	1.673	-0.266	-22.644	34.302	128.967	102.49	-24.18	87.65	28.126	-70.756	12.250	0.37833	0.60410	0.51764	0.47314	27.6	13111	100
2025-3-13 10:6:33.332	WT901BLE68(490AABDC0D29)	-0.319	-0.999	-0.160	-51.147	-25.818	-52.673	-91.19	19.59	32.29	26.852	22.736	39.690	0.65689	-0.69406	-0.09695	0.27792	26.9	13111	100
