time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-20 10:50:13.724	WT901BLE68(E947F43FF2E9)	0.056	1.234	0.130	-10.681	-10.132	-2.319	89.13	-3.59	115.62	16.170	-61.544	17.738	0.35675	0.40051	0.57980	0.61319	26.0	13111	100
2025-3-20 10:50:13.838	WT901BLE68(490AABDC0D29)	-0.157	1.021	-0.070	-6.592	84.473	-8.728	84.26	-0.09	-136.58	-6.860	-43.120	22.442	0.31082	0.26022	-0.59912	-0.69037	24.2	13111	100
2025-3-20 10:50:13.845	WT901BLE68(E947F43FF2E9)	0.062	0.963	0.029	-10.193	13.428	1.282	88.00	-3.72	116.93	16.170	-61.544	17.738	0.35675	0.40051	0.57980	0.61319	26.0	13111	100
2025-3-20 10:50:13.928	WT901BLE68(490AABDC0D29)	-0.017	0.968	-0.065	2.014	44.373	8.057	82.02	0.82	-128.87	-6.860	-43.120	22.442	0.32260	0.28860	-0.59268	-0.67914	24.2	13111	100
2025-3-20 10:50:13.934	WT901BLE68(E947F43FF2E9)	0.085	0.987	0.094	-0.610	0.854	0.916	87.47	-3.86	118.92	16.170	-61.544	17.738	0.34402	0.37000	0.58371	0.63553	26.0	13111	100
2025-3-20 10:50:14.47	WT901BLE68(490AABDC0D29)	0.036	1.024	-0.016	7.690	-13.245	10.559	83.20	-0.12	-130.36	-6.860	-43.120	22.442	0.32260	0.28860	-0.59268	-0.67914	24.2	13111	100
2025-3-20 10:50:14.55	WT901BLE68(E947F43FF2E9)	0.045	1.028	0.034	-7.141	11.047	-3.479	87.16	-3.85	120.24	16.170	-61.544	17.738	0.34402	0.37000	0.58371	0.63553	26.0	13111	100
2025-3-20 10:50:14.115	WT901BLE68(E947F43FF2E9)	0.039	0.994	0.061	-13.794	11.597	-6.287	85.84	-3.32	122.45	15.680	-62.328	15.876	0.34402	0.37000	0.58371	0.63553	26.0	13111	100
2025-3-20 10:50:14.137	WT901BLE68(490AABDC0D29)	0.019	0.992	0.042	-4.395	-5.615	1.526	83.31	-0.82	-133.84	-3.822	-43.708	24.696	0.32260	0.28860	-0.59268	-0.67914	24.2	13111	100
2025-3-20 10:50:14.235	WT901BLE68(E947F43FF2E9)	-0.020	0.995	0.082	-3.784	21.851	-10.681	84.93	-2.37	124.64	15.680	-62.328	15.876	0.34402	0.37000	0.58371	0.63553	26.0	13111	100
