Timestamp,AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ,HX,HY,HZ,Q0,Q1,Q2,Q3
2025-03-10 15:32:33.681,-0.01,0.016,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:33.785,-0.009,0.015,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.0087,0.98514
2025-03-10 15:32:33.890,-0.01,0.014,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:33.993,-0.01,0.016,1.034,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.099,-0.01,0.017,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.204,-0.009,0.016,1.033,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.310,-0.02,0.017,1.032,0.0,0.0,0.0,0.917,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.415,-0.017,0.012,1.03,0.0,0.122,0.0,0.912,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.520,-0.012,0.011,1.031,0.0,0.061,0.0,0.912,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.622,-0.008,0.011,1.031,0.0,0.0,0.0,0.912,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.0087,0.98514
2025-03-10 15:32:34.728,-0.008,0.014,1.032,-0.061,0.0,0.0,0.912,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00861,0.98514
2025-03-10 15:32:34.833,-0.01,0.017,1.032,-0.061,0.0,0.0,0.912,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00861,0.98514
2025-03-10 15:32:34.939,-0.01,0.019,1.032,-0.061,-0.061,0.0,0.912,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00861,0.98514
2025-03-10 15:32:34.939,-0.011,0.02,1.032,0.0,0.0,0.0,0.906,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00861,0.98514
2025-03-10 15:32:35.045,-0.011,0.019,1.033,0.0,0.0,0.0,0.906,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.00861,0.98514
2025-03-10 15:32:35.150,-0.01,0.018,1.033,0.0,0.0,0.0,0.906,0.527,160.274,1.275,-3.242,-2.942,0.17126,-0.00314,0.00861,0.98514
2025-03-10 15:32:35.256,-0.01,0.017,1.033,0.0,0.0,0.0,0.906,0.527,160.274,1.283,-3.25,-2.942,0.17126,-0.00314,0.00861,0.98514
2025-03-10 15:32:35.361,-0.009,0.016,1.032,0.0,0.0,0.0,0.906,0.527,160.274,1.283,-3.25,-2.942,0.17126,-0.00314,0.00861,0.98514
2025-03-10 15:32:35.467,-0.009,0.015,1.033,0.0,0.0,0.0,0.906,0.527,160.274,1.283,-3.25,-2.942,0.17126,-0.00317,0.00861,0.98514
2025-03-10 15:32:35.572,-0.009,0.015,1.032,0.0,0.0,0.0,0.912,0.527,160.274,1.283,-3.25,-2.942,0.17126,-0.00317,0.00861,0.98514
2025-03-10 15:32:35.678,-0.009,0.016,1.032,0.0,0.0,0.0,0.912,0.527,160.274,1.275,-3.242,-2.942,0.17126,-0.00317,0.00861,0.98514
2025-03-10 15:32:35.784,-0.01,0.017,1.032,0.0,0.0,0.0,0.912,0.533,160.274,1.275,-3.242,-2.942,0.17126,-0.00317,0.00861,0.98514
2025-03-10 15:32:35.889,-0.011,0.018,1.032,0.0,0.0,0.0,0.912,0.533,160.274,1.275,-3.242,-2.942,0.17126,-0.00317,0.00861,0.98514
2025-03-10 15:32:35.994,-0.017,0.013,1.031,0.0,-0.366,0.0,0.912,0.527,160.274,1.275,-3.242,-2.942,0.17126,-0.0032,0.00864,0.98514
2025-03-10 15:32:36.100,-0.021,0.013,1.018,0.305,-0.305,0.0,0.917,0.533,160.274,1.275,-3.242,-2.942,0.17126,-0.0032,0.00864,0.98514
2025-03-10 15:32:36.205,-0.015,0.015,1.031,0.366,-0.366,0.0,0.923,0.527,160.274,1.275,-3.242,-2.942,0.17126,-0.0032,0.00864,0.98514
2025-03-10 15:32:36.311,-0.007,0.014,1.039,0.244,-0.244,0.0,0.928,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.0032,0.00864,0.98514
2025-03-10 15:32:36.415,-0.003,0.016,1.039,0.244,-0.183,0.0,0.928,0.527,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00879,0.98514
2025-03-10 15:32:36.520,-0.004,0.017,1.038,0.122,-0.122,0.0,0.934,0.522,160.274,1.275,-3.242,-2.942,0.17126,-0.00311,0.00879,0.98514
2025-03-10 15:32:36.626,-0.005,0.016,1.035,0.0,-0.061,0.0,0.934,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00879,0.98514
2025-03-10 15:32:36.731,-0.006,0.017,1.035,0.0,0.0,0.0,0.934,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00879,0.98514
2025-03-10 15:32:36.837,-0.008,0.019,1.032,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00885,0.98514
2025-03-10 15:32:36.942,-0.01,0.019,1.031,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.95,0.17126,-0.00311,0.00885,0.98514
2025-03-10 15:32:36.942,-0.01,0.017,1.032,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00885,0.98514
2025-03-10 15:32:37.153,-0.01,0.016,1.033,0.0,0.0,0.0,0.939,0.516,160.274,1.267,-3.25,-2.942,0.17126,-0.00311,0.00885,0.98514
2025-03-10 15:32:37.153,-0.009,0.016,1.033,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00305,0.00888,0.98514
2025-03-10 15:32:37.256,-0.009,0.016,1.032,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.25,-2.942,0.17126,-0.00305,0.00888,0.98514
2025-03-10 15:32:37.361,-0.01,0.016,1.032,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.933,0.17126,-0.00305,0.00888,0.98514
2025-03-10 15:32:37.464,-0.009,0.017,1.033,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.933,0.17126,-0.00305,0.00888,0.98514
2025-03-10 15:32:37.569,-0.008,0.018,1.033,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.933,0.17126,-0.00308,0.00888,0.98514
2025-03-10 15:32:37.672,-0.009,0.018,1.033,0.0,0.0,0.0,0.939,0.522,160.274,1.267,-3.242,-2.933,0.17126,-0.00308,0.00888,0.98514
2025-03-10 15:32:37.778,0.002,0.021,1.027,0.0,0.0,0.0,0.945,0.522,160.274,1.267,-3.233,-2.942,0.17126,-0.00308,0.00888,0.98514
2025-03-10 15:32:37.883,0.0,0.021,1.042,0.0,-0.122,0.0,0.95,0.527,160.274,1.267,-3.233,-2.942,0.17126,-0.00308,0.00888,0.98514
2025-03-10 15:32:37.989,-0.003,0.02,1.038,0.0,0.0,0.0,0.945,0.527,160.274,1.267,-3.233,-2.942,0.17126,-0.00317,0.00891,0.98514
2025-03-10 15:32:38.094,-0.009,0.024,1.038,0.0,0.0,0.0,0.945,0.527,160.274,1.267,-3.233,-2.942,0.17126,-0.00317,0.00891,0.98514
2025-03-10 15:32:38.197,-0.009,0.019,1.04,0.0,0.061,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.17126,-0.00317,0.00891,0.98514
2025-03-10 15:32:38.303,-0.009,0.017,1.037,0.0,0.122,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.17126,-0.00317,0.00891,0.98514
2025-03-10 15:32:38.408,-0.01,0.019,1.032,0.0,0.0,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.17126,-0.00317,0.00891,0.98514
2025-03-10 15:32:38.511,-0.01,0.017,1.028,0.0,0.0,0.0,0.95,0.522,160.274,1.267,-3.242,-2.933,0.1713,-0.00311,0.00894,0.98514
2025-03-10 15:32:38.616,-0.01,0.016,1.031,0.0,0.061,0.0,0.95,0.522,160.274,1.267,-3.242,-2.933,0.1713,-0.00311,0.00894,0.98514
2025-03-10 15:32:38.722,-0.01,0.017,1.033,0.0,0.0,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.1713,-0.00311,0.00894,0.98514
2025-03-10 15:32:38.827,-0.01,0.017,1.032,0.0,0.0,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.1713,-0.00311,0.00894,0.98514
2025-03-10 15:32:38.933,-0.012,0.017,1.031,0.0,0.0,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.1713,-0.00308,0.00897,0.98514
2025-03-10 15:32:39.038,-0.011,0.018,1.033,0.0,0.0,0.0,0.95,0.527,160.274,1.267,-3.242,-2.933,0.1713,-0.00308,0.00897,0.98514
2025-03-10 15:32:39.144,-0.01,0.018,1.033,0.0,0.0,0.0,0.95,0.527,160.274,1.275,-3.25,-2.933,0.1713,-0.00308,0.00897,0.98514
2025-03-10 15:32:39.249,-0.01,0.017,1.032,0.0,0.0,0.0,0.945,0.527,160.274,1.275,-3.25,-2.933,0.1713,-0.00308,0.00897,0.98514
2025-03-10 15:32:39.354,-0.01,0.017,1.033,0.0,0.0,0.0,0.945,0.527,160.274,1.275,-3.25,-2.933,0.17126,-0.00311,0.00894,0.98514
2025-03-10 15:32:39.456,-0.009,0.018,1.033,0.0,0.0,0.0,0.945,0.527,160.274,1.275,-3.25,-2.933,0.17126,-0.00311,0.00894,0.98514
2025-03-10 15:32:39.561,-0.01,0.017,1.033,0.0,0.0,0.0,0.945,0.527,160.274,1.267,-3.242,-2.925,0.17126,-0.00311,0.00894,0.98514
