time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-17 11:7:17.470	WT901BLE68(490AABDC0D29)	-0.289	-0.981	-0.038	8.545	-105.652	22.644	-108.43	-7.66	-7.53	2.254	46.550	39.494	0.60522	-0.76114	0.16595	-0.16336	22.5	13111	100
2025-3-17 11:7:17.537	WT901BLE68(E947F43FF2E9)	-0.077	-1.292	-0.366	18.433	27.649	-89.722	-101.29	-18.49	-77.97	-22.050	14.896	5.194	-0.36084	0.66052	-0.35776	0.55261	24.3	13111	100
2025-3-17 11:7:17.592	WT901BLE68(490AABDC0D29)	-0.016	-1.594	0.303	27.527	-51.208	85.693	-107.13	-2.92	-7.61	2.254	46.550	39.494	0.60522	-0.76114	0.16595	-0.16336	22.5	13111	100
2025-3-17 11:7:17.599	WT901BLE68(E947F43FF2E9)	-0.792	-0.979	-0.364	49.377	39.368	-154.907	-95.73	-34.09	-83.41	-22.050	14.896	5.194	-0.36084	0.66052	-0.35776	0.55261	24.3	13111	100
2025-3-17 11:7:17.651	WT901BLE68(490AABDC0D29)	-0.394	-1.275	-0.501	29.724	62.744	96.069	-105.21	3.28	-14.72	2.254	46.550	39.494	0.61230	-0.77435	0.15317	-0.04376	22.5	13111	100
2025-3-17 11:7:17.717	WT901BLE68(E947F43FF2E9)	0.737	0.421	-0.338	44.495	-135.986	107.300	-96.32	-34.96	-77.33	-34.692	-5.390	1.078	-0.36084	0.66052	-0.35776	0.55261	24.3	13111	100
2025-3-17 11:7:17.770	WT901BLE68(490AABDC0D29)	-0.242	-1.072	-0.114	-2.014	2.625	51.758	-104.68	9.30	-18.34	2.254	46.550	39.494	0.61230	-0.77435	0.15317	-0.04376	22.5	13111	100
2025-3-17 11:7:17.809	WT901BLE68(E947F43FF2E9)	1.115	-0.679	-0.346	-17.517	-61.646	267.151	-100.40	-9.68	-68.31	-34.692	-5.390	1.078	-0.36084	0.66052	-0.35776	0.55261	24.3	13111	100
2025-3-17 11:7:17.861	WT901BLE68(490AABDC0D29)	-0.312	-1.049	-0.166	7.141	-19.714	55.542	-103.86	14.04	-16.50	19.894	34.692	40.474	0.61230	-0.77435	0.15317	-0.04376	22.5	13111	100
2025-3-17 11:7:17.937	WT901BLE68(E947F43FF2E9)	0.712	-1.879	-0.221	-40.771	27.161	240.295	-105.75	13.11	-76.25	-34.692	-5.390	1.078	-0.53912	0.54880	-0.58649	0.25314	24.3	13111	100
2025-3-17 11:7:17.981	WT901BLE68(490AABDC0D29)	-0.381	-0.925	-0.281	9.094	-17.334	62.134	-103.16	20.47	-14.59	19.894	34.692	40.474	0.61230	-0.77435	0.15317	-0.04376	22.5	13111	100
2025-3-17 11:7:18.17	WT901BLE68(E947F43FF2E9)	-0.665	-0.952	0.024	-9.277	116.699	37.537	-109.04	22.21	-81.15	-34.692	-5.390	1.078	-0.53912	0.54880	-0.58649	0.25314	24.3	13111	100
2025-3-17 11:7:18.72	WT901BLE68(490AABDC0D29)	0.034	-1.085	-0.272	21.301	-33.142	90.881	-101.27	28.16	-12.23	19.894	34.692	40.474	0.63672	-0.70309	0.25601	0.18604	22.5	13111	100
2025-3-17 11:7:18.140	WT901BLE68(E947F43FF2E9)	-0.411	-1.223	-0.255	-4.150	-56.702	-43.518	-107.06	18.45	-77.77	-10.290	25.676	3.724	-0.53912	0.54880	-0.58649	0.25314	24.3	13111	100
2025-3-17 11:7:18.191	WT901BLE68(490AABDC0D29)	0.300	-2.074	-0.377	42.725	-51.575	166.138	-96.37	40.55	-6.70	19.894	34.692	40.474	0.63672	-0.70309	0.25601	0.18604	22.5	13111	100
2025-3-17 11:7:18.199	WT901BLE68(E947F43FF2E9)	0.370	-1.633	-0.218	-4.089	-22.339	-78.674	-106.03	9.75	-75.58	-10.290	25.676	3.724	-0.53912	0.54880	-0.58649	0.25314	24.3	13111	100
2025-3-17 11:7:18.280	WT901BLE68(490AABDC0D29)	-0.214	0.126	0.252	15.259	5.127	-34.607	-96.75	47.46	-5.15	32.046	10.486	34.398	0.63672	-0.70309	0.25601	0.18604	22.5	13111	100
2025-3-17 11:7:18.318	WT901BLE68(E947F43FF2E9)	0.193	-0.808	-0.338	8.545	-34.607	-24.292	-104.62	5.10	-72.19	-10.290	25.676	3.724	-0.51239	0.62604	-0.47934	0.34003	24.3	13111	100
2025-3-17 11:7:18.401	WT901BLE68(490AABDC0D29)	-0.874	-0.543	-0.412	-5.676	109.497	-233.459	-99.69	29.62	-7.55	32.046	10.486	34.398	0.63672	-0.70309	0.25601	0.18604	22.5	13111	100
